company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ctraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
Digivante,GBR,Bugfinders,1998,NA,Prism DM,BPO,CLOSED,FALSE,733889,IND,46.2,NA,NA,NA,48568,14411,30.47,"IND,UKR,GBR,SRB,EGY,USA,CAN,FRA,ROU,GER","34.3,17.68,16.57,5.91,4.15,3.98,2.01,1.67,1.4,1.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
E-Magine,PAN,Gig Bucks,2007,,NA,OPEN,OPEN,FALSE,116830,"IND,BGD,PAK","50.2,6.2,6.1",NA,NA,NA,18919,9378,46.18,"IND,USA,PAK,DNK,PHL,BGD,MEX,NGA,ALB,MAR","27.6,13.09,5.21,4.51,3.3,3.08,2.66,2.36,2.22,1.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
Ferpection,FRA,Ferpection,2014,NA,NA,BPO,OPEN,FALSE,124700,NA,NA,NA,NA,NA,105779,36866,43.09,"FRA,USA,NED,IND,CAN,ITA,PHL,TGO,DZA,ZAF","30.64,13.88,9.02,4.59,4.41,3.55,3.34,2.21,1.52,1.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Fiverr International,ISR,Fiverr,2010,NA,NA,OPEN,OPEN,FALSE,326,"USA,IND,PAK,BGD,CAN,NGA,AUS,JAP,BRA,SAU,MEX,EGY,CHE,MAR,SGP,DZA,KOR,LKA,ARE,ZAF,QAT,PHL,ISR,FRA,TUR,ARG,HKG,SDN,MYS","29.4,14.5,12.1,4.3,3.3,3.3,2.4,1.9,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5",NA,NA,NA,53260000,9812000,28.98,"USA,PAK,BGD,IND,GBR,CAN,IDN,LKA,GER,AUS","23.21,10.17,7.53,6.31,5.3,2.79,2.71,2.54,2.07,1.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830000,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flitto,KOR,Flitto,2012,19100000,NA,OPEN,OPEN,FALSE,64816,"KOR,IDN","85,2.3",NA,NA,NA,114360,63463,40.18,"KOR,IDN,FRA,CHL,USA,VNM,JAP,IND,CAN,ESP","68.26,5.63,4.42,4.05,3.59,1.98,1.22,0.92,0.82,.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Global Technology Solution,IND,NA,2012,NA,NA,BPO,BPO,NA,3718358,NA,NA,NA,NA,NA,333,188,46.17,"IND,NLD,CAN","78.31,12.19,9.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
Helpware,USA,Taskware,2015,NA,NA,BPO,BPO,NA,817967,USA,65.1,NA,NA,NA,2633,1316,50.44,"UKR,USA,IND,GTM,PAK,MEX,HKG,PHL,BEL,ARG","37.45,22.98,8.02,5.53,3,2.8,2.71,2.63,2.16,2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE
Ideascale,USA,Ideascale,2009,NA,NA,BPO,NA,NA,153878,"USA,IND","35.3,22.7",NA,NA,NA,51950,31558,57.88,"USA,GER,GBR,GER,IND,AUS,JAP,BGD,BRA,FRA","40.92,5.01,4.9,4.75,3.77,3.38,2.35,2.29,2.24,1.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
iMerit,USA,NA,2012,23500000,NA,BPO,BPO,NA,263383,IND,79.7,NA,NA,NA,11110,4700,45.91,"IND,USA,CHE,GER,FRA,MYS,MDG,CAN,PHL,CZE","48.03,35.03,2.34,2.25,2.12,1.94,1.21,1.16,1.15,0.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Ionicware,USA,SEOClerks,2014,NA,NA,OPEN,OPEN,FALSE,21517,"IND,PAK,USA,BGD,NGA,EGY,DZA,SAU,IDN,THA,LKA,CAN,VNM,TUR,MAR,KHM,MYS,IRN","22.6,11.5,10.5,7.4,5.8,3.3,3,2.5,1.8,1.8,1.7,1.6,1.4,1.4,1.4,1.1,0.7,0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ionicware,USA,Wordclerks,2014,NA,NA,OPEN,OPEN,FALSE,410867,"USA,BGD","63,12.8",NA,NA,NA,4216,4100,54.78,"PAK,USA,VNM,IND,GBR,LKA,MAR,BRA,BGD,PHL","25.24,12.75,7.47,6.42,5.23,5.04,4.56,4.35,3.5,3.26,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Isahit,FRA,Isahit,2017,NA,NA,BPO,CLOSED,FALSE,261830,MDG,94,NA,NA,NA,28286,5857,15.14,"CIV,RWA,MDG,CMR,SEN,FRA,PHL,TGO,MEX,IND","49.1,13.49,11.41,10.14,9.12,2.66,1.18,0.86,0.36,0.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA
